브랜드,모델명,트림,세부트림,연료,차종,연식
아우디,뉴 A6,40 TDI 콰트로 프리미엄,C7,디젤,세단,2015
벤츠,GLA-클래스 H247,GLA250 4MATIC,,가솔린,SUV,2020
벤츠,S-클래스 W222,S350L 블루텍,,디젤,세단,2015
폭스바겐,아테온,2.0 TDI 프레스티지,,디젤,세단,2019
BMW,X4 (G02),xDrive20d xLine,,디젤,SUV,2023
재규어,XE,20t 프레스티지,,가솔린,세단,2018
렉서스,ES300h 7세대,럭셔리 플러스,,가솔린+전기,세단,2023
벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,,디젤,세단,2021
렉서스,ES300h 7세대,이그제큐티브,,가솔린+전기,세단,2021
BMW,7시리즈 (G11),730Ld xDrive 디자인 퓨어 엑셀런스,,디젤,세단,2020
BMW,8시리즈 (G15),840i xDrive M 스포츠 퍼스트 에디션 그란쿠페,,가솔린,소형,2019
미니,쿠퍼 S 컨버터블,클래식,3세대,가솔린,소형,2022
BMW,X5 (F15),xDrive 30d,,디젤,SUV,2015
BMW,7시리즈 (G11),740d xDrive M 스포츠,,디젤,세단,2018
미니,쿠퍼 D 컨트리맨,ALL4,2세대,디젤,소형,2018
BMW,5시리즈 (G60),530i xDrive,,가솔린,세단,2024
BMW,6시리즈 GT (G32),620d M 스포츠,,디젤,소형,2019
벤츠,GLA-클래스 H247,GLA250 4MATIC,,가솔린,SUV,2020
BMW,7시리즈 (G11),M760Li xDrive,,가솔린,세단,2017
폭스바겐,티구안 2세대,2.0 TDI 4모션 프레스티지,,디젤,SUV,2020
벤츠,C-클래스 W205,C200 4MATIC 익스클루시브,,가솔린,세단,2018
벤틀리,컨티넨탈 GT 3세대,4.0 GT,,가솔린,소형,2022
렉서스,뉴 ES300h,슈프림,XV60,가솔린+전기,세단,2014
벤츠,E-클래스 W213,E250 AMG Line,,가솔린,세단,2022
아우디,A6 (C8),45 TFSI 프리미엄,,가솔린,세단,2020
아우디,A6 (C8),45 TFSI 프리미엄,,가솔린,세단,2023
벤츠,EQS SUV X296,EQS580 4MATIC,,전기,SUV,2023
폭스바겐,티구안 2세대,2.0 TDI 4모션 프레스티지,,디젤,SUV,2023
BMW,3시리즈 GT (F34),GT 320d,,디젤,세단,2017
BMW,6시리즈 GT (G32),620d M 스포츠,,디젤,소형,2023
BMW,3시리즈 (F30),320d M 스포츠,,디젤,세단,2017
포르쉐,파나메라 (971),4.0 GTS,,가솔린,소형,2020
벤츠,CLS-클래스 W218,CLS250 블루텍 4MATIC,,디젤,세단,2015
아우디,A4 (B9),40 TFSI 프리미엄,,가솔린,세단,2019
BMW,5시리즈 (G30),520i 럭셔리,,가솔린,세단,2022
BMW,3시리즈 (F30),320i M 스포츠,,가솔린,세단,2016
BMW,5시리즈 (G30),520d xDrive 럭셔리 플러스,,디젤,세단,2020
미니,쿠퍼 D 컨트리맨,기본형,1세대,디젤,소형,2015
벤츠,E-클래스 W213,E350d,,디젤,세단,2017
벤츠,C-클래스 W206,C300 4MATIC 아방가르드,,가솔린,세단,2024
볼보,XC90 2세대,B6 인스크립션,,가솔린,세단,2021
벤츠,A-클래스 W177,A220 세단,,가솔린,세단,2021
BMW,5시리즈 (G30),530i M 스포츠,,가솔린,세단,2021
아우디,A6 (C8),40 TDI,,디젤,세단,2020
랜드로버,레인지로버 4세대,4.4 SDV8 Vogue SE 디젤,,디젤,SUV,2015
BMW,7시리즈 (G70),740i xDrive M 스포츠,,가솔린,세단,2024
폭스바겐,파사트 GT(B8),2.0 TDI,,디젤,세단,2018
벤츠,E-클래스 W213,E220d 카브리올레,,디젤,세단,2020
볼보,XC60 2세대,D5 인스크립션,,디젤,세단,2019
폭스바겐,파사트 GT(B8),2.0 TDI 프레스티지,,디젤,세단,2021
벤츠,S-클래스 W222,마이바흐 S500,,가솔린,세단,2015
랜드로버,디스커버리 5,3.0 SD6 HSE 럭셔리,,디젤,SUV,2019
BMW,X3 (G01),xDrive 20d M 스포츠 프로,,디젤,SUV,2022
벤츠,GLC-클래스 X253,GLC300 4MATIC,,가솔린,세단,2020
랜드로버,레인지로버 이보크,2.0 TD4 HSE 다이나믹,,디젤,SUV,2019
벤츠,E-클래스 W212,E300 엘레강스,,가솔린,세단,2012
BMW,5시리즈 (G30),530i xDrive M 스포츠 플러스,,가솔린,세단,2018
렉서스,LS460,AWD,XF40,가솔린,SUV,2013
아우디,Q7 (4M),45 TDI 콰트로 프리미엄,,디젤,SUV,2020
미니,쿠퍼 컨트리맨,클래식 플러스,2세대,가솔린,소형,2021
벤츠,E-클래스 W212,E300 아방가르드,,가솔린,세단,2015
폭스바겐,골프 7세대,1.4 TSI 프리미엄,,가솔린,세단,2015
아우디,뉴 A4,2.0 TDI 다이나믹,B8,디젤,세단,2012
랜드로버,디스커버리 4,3.0 SDV6 SE,,디젤,SUV,2015
도요타,시에나,3.5 AWD,,가솔린,SUV,2015
벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,,디젤,세단,2021
렉서스,ES300h 7세대,이그제큐티브,,가솔린+전기,세단,2021
포르쉐,파나메라 (971),3.0 AWD,,가솔린,SUV,2020
BMW,X3 (G01),xDrive 20i M 스포츠 프로,,가솔린,SUV,2022
벤츠,C-클래스 W205,C220 d 아방가르드,,디젤,세단,2016
미니,쿠퍼 S,5도어 기본형,3세대,가솔린,소형,2016
벤츠,S-클래스 W222,S350 d 4MATIC,,디젤,세단,2017
마세라티,르반떼,3.0 디젤 AWD,,디젤,SUV,2017
BMW,7시리즈 (G11),M760Li xDrive,,가솔린,세단,2017
BMW,5시리즈 (G30),520d M 스포츠 플러스,,디젤,세단,2017
벤츠,GLE-클래스 W167,AMG GLE53 4MATIC+ 쿠페,,가솔린,세단,2023
BMW,X5 (F15),xDrive 30d,,디젤,SUV,2014
BMW,X6 (G06),xDrive40i M 스포츠,,가솔린,SUV,2022
벤츠,E-클래스 W213,E250 익스클루시브,,가솔린,세단,2023
BMW,5시리즈 (G60),530i xDrive M 스포츠,,가솔린,세단,2024
폭스바겐,티구안 올스페이스,2.0 TSI 프레스티지,,가솔린,SUV,2022
마세라티,기블리,3.0 그란스포츠,3세대,가솔린,소형,2020
BMW,5시리즈 (G60),520i M 스포츠,,가솔린,세단,2024
볼보,XC40,B4 인스크립션,,가솔린,세단,2021
벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,,디젤,세단,2018
BMW,7시리즈 (G11),740Li xDrive M 스포츠,,가솔린,세단,2018
벤츠,S-클래스 W221,S350L,,가솔린,세단,2006
마세라티,르반떼,3.0 AWD 그란스포츠,,가솔린,SUV,2019
아우디,뉴 A3,40 TFSI,8V,가솔린,세단,2018
미니,쿠퍼 S,기본형,3세대,가솔린,소형,2016
BMW,5시리즈 (G30),530i xDrive M 스포츠 플러스,,가솔린,세단,2017
볼보,XC90 2세대,D5 인스크립션,,디젤,세단,2017
벤츠,G-클래스 W463b,AMG G63 마그노 히어로 에디션,,가솔린,소형,2022
벤츠,E-클래스 W213,E250 AMG Line,,가솔린,세단,2023
BMW,4시리즈 (F32),420d 럭셔리 쿠페,,디젤,소형,2014
벤츠,GLC-클래스 X254,GLC220 d 4MATIC,,디젤,세단,2023
벤츠,S-클래스 W222,S63 AMG 4MATIC,,가솔린,세단,2016
벤츠,CLS-클래스 W219,CLS350,,가솔린,세단,2005
BMW,X3 (G01),xDrive 20i M 스포츠,,가솔린,SUV,2021
렉서스,NX300,F-Sport,,가솔린,SUV,2019
BMW,3시리즈 GT (F34),GT 320d xDrive 프리미엄,,디젤,세단,2020
랜드로버,레인지로버 5세대,P530 AB LWB,,가솔린,SUV,2022
아우디,Q7 (4M),45 TFSI 콰트로,,가솔린,SUV,2019
벤츠,GLA-클래스 X156,GLA220 프리미엄,,가솔린,세단,2019
벤츠,C-클래스 W205,C200 쿠페,,가솔린,세단,2020
벤츠,E-클래스 W213,E220d 4MATIC 아방가르드,,디젤,세단,2017
포르쉐,뉴 카이엔,3.6,958,가솔린,SUV,2015
랜드로버,디스커버리 5,2.0 SD4 HSE,,디젤,SUV,2017
벤츠,S-클래스 W223,마이바흐 S580 4MATIC,,가솔린,세단,2021
벤츠,S-클래스 W223,S450L 4MATIC,,가솔린,세단,2023
벤츠,E-클래스 W213,E350 4MATIC AMG Line,,가솔린,세단,2022
벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,,디젤,세단,2023
포드,익스플로러,2.3 리미티드 4WD,5세대,가솔린,SUV,2018
벤츠,GLA-클래스 X156,GLA220 프리미엄,,가솔린,세단,2019
포드,익스플로러 6세대,2.3 리미티드 4WD,,가솔린,SUV,2021
랜드로버,디스커버리 5,3.0 SD6 HSE 럭셔리,,디젤,SUV,2020
아우디,A4 (B9),40 TFSI 프리미엄,,가솔린,세단,2019
BMW,X7 (G07),xDrive 30d M 스포츠 6인승,,디젤,SUV,2020
포르쉐,파나메라 (971),4.0 GTS,,가솔린,소형,2020
아우디,A6 (C8),45 TFSI 프리미엄,,가솔린,세단,2023
랜드로버,디스커버리 스포츠,2.0 TD4 SE,,디젤,SUV,2016
BMW,5시리즈 (G30),520i 럭셔리,,가솔린,세단,2018
벤츠,CLS-클래스 W218,CLS400,,가솔린,세단,2015
BMW,X4M (G02),3,,가솔린,SUV,2020
아우디,A4 (B9),40 TFSI 프리미엄,,가솔린,세단,2019
벤츠,C-클래스 W205,C220 d 아방가르드,,디젤,세단,2019
BMW,X4 (G02),xDrive20i M 스포츠,,가솔린,SUV,2023
벤츠,S-클래스 W222,S63 AMG 4MATIC+,,가솔린,세단,2019
벤츠,CLS-클래스 C257,CLS450 4MATIC AMG Line,,가솔린,세단,2019
벤츠,C-클래스 W205,C220 d 4MATIC 에스테이트,,디젤,세단,2017
BMW,X5 (F15),xDrive 30d M 스포츠,,디젤,SUV,2018
캐딜락,에스컬레이드,6.2,4세대,가솔린,소형,2019
BMW,5시리즈 (G30),530i M 스포츠,,가솔린,세단,2021
벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,,디젤,세단,2020
벤츠,E-클래스 W213,E250 아방가르드,,가솔린,세단,2020
벤츠,GLC-클래스 X253,GLC300 4MATIC,,가솔린,세단,2020
랜드로버,레인지로버 4세대,5.0 SC Vogue SE,,가솔린,SUV,2018
재규어,XF (X260),25t 프레스티지,,가솔린,세단,2018
BMW,X1 (U11),sDrive 20i M 스포츠,,가솔린,소형,2023
BMW,5시리즈 (F10),528i xDrive 럭셔리 플러스,,가솔린,세단,2016
BMW,3시리즈 GT (F34),GT 320d,,디젤,세단,2015
닷지,램픽업,5.7,,가솔린,픽업트럭,2017
벤츠,S-클래스 W222,S350 d 4MATIC,,디젤,세단,2017
BMW,3시리즈 (F30),320d,,디젤,세단,2013
벤츠,CLS-클래스 C257,CLS400d 4MATIC,,디젤,세단,2019
BMW,5시리즈 (G30),530i xDrive 럭셔리 플러스,,가솔린,세단,2018
랜드로버,레인지로버 4세대,5.0 SC AB,,가솔린,SUV,2020
BMW,M4 (F82),M4 쿠페,,가솔린,소형,2017
아우디,Q5,35 TDI 콰트로 다이나믹,8R,디젤,SUV,2015
랜드로버,레인지로버 이보크 2세대,D180 R-다이나믹 SE,,디젤,SUV,2020
BMW,7시리즈 (G11),M760Li xDrive,,가솔린,세단,2017
미니,쿠퍼 D 컨트리맨,기본형,1세대,디젤,소형,2015
BMW,3시리즈 (F30),320d 스포츠,,디젤,세단,2014
인피니티,Q50,2.2d 프리미엄,,디젤,세단,2015
미니,쿠퍼 S 컨버터블,기본형,3세대,가솔린,소형,2016
BMW,6시리즈 (F12),640d xDrive M 스포츠 그란쿠페,,디젤,소형,2015
벤츠,GLC-클래스 X253,AMG GLC43 4MATIC 쿠페,,가솔린,세단,2017
벤츠,G-클래스 W463b,AMG G63 에디션,,가솔린,소형,2021
지프,체로키(KL),2.4 론지튜드 하이 AWD,,가솔린,SUV,2017
미니,쿠퍼 D,기본형,3세대,디젤,소형,2014
벤츠,E-클래스 W213,E220d 익스클루시브,,디젤,세단,2018
벤츠,S-클래스 W222,S400L d 4MATIC,,디젤,세단,2018
BMW,5시리즈 (G30),520d 럭셔리 스페셜 에디션,,디젤,세단,2018
BMW,3시리즈 (G20),320i,,가솔린,세단,2024
BMW,5시리즈 (F10),520d M 에어로 다이나믹,,디젤,세단,2015
포르쉐,카이엔 (PO536),3.0 E-하이브리드 쿠페,,가솔린+전기,소형,2020
BMW,X3 (G01),xDrive 20i M 스포츠 프로,,가솔린,SUV,2022
벤츠,C-클래스 W206,C200 아방가르드,,가솔린,세단,2022
BMW,X5 (G05),xDrive 30d M 스포츠,,디젤,SUV,2019
인피니티,QX70,3.0d AWD,,디젤,SUV,2015
벤츠,GLS-클래스 X166,GLS500 4MATIC,,가솔린,세단,2017
미니,쿠퍼 D,5도어 HIGH,3세대,디젤,소형,2014
BMW,7시리즈 (G11),740Ld xDrive M 스포츠,,디젤,세단,2017
벤츠,C-클래스 W205,C200 카브리올레,,가솔린,세단,2019
벤츠,GLC-클래스 X253,GLC300 4MATIC 프리미엄,,가솔린,세단,2020
아우디,Q3,2.0 TDI 콰트로,8U,디젤,SUV,2014
도요타,RAV4 5세대,2.5 4WD 하이브리드,,가솔린+전기,SUV,2022
벤츠,CLS-클래스 C257,CLS450 4MATIC,,가솔린,세단,2023
벤츠,E-클래스 W213,E220d 아방가르드,,디젤,세단,2016
BMW,5시리즈 (F10),528i,,가솔린,세단,2014
미니,쿠퍼 S,기본형,1세대,가솔린,소형,2006
아우디,TT,쿠페 1.8,8N,가솔린,소형,2003
지프,랭글러 (JK),3.6 루비콘 2도어,,가솔린,소형,2017
아우디,Q2,35 TDI 프리미엄,,디젤,세단,2023
마세라티,르반떼,3.8 GTS AWD,,가솔린,SUV,2019
포르쉐,카이엔 (PO536),4.0 터보 쿠페,,가솔린,소형,2021
BMW,6시리즈 GT (G32),620d M 스포츠,,디젤,소형,2020
BMW,7시리즈 (G11),740Ld xDrive,,디젤,세단,2016
아우디,A1,30 TDI 스포트 프리미엄,,디젤,세단,2015
BMW,X3 (G01),xDrive 20d M 스포츠 온라인 익스클루시브 에디션,,디젤,SUV,2021
포르쉐,911,카레라 GTS 카브리올레,991,가솔린,소형,2015
아우디,Q2,35 TDI 프리미엄,,디젤,세단,2023
아우디,A5,35 TDI 콰트로 스포츠백,8TA,디젤,SUV,2016
BMW,5시리즈 (G30),520d xDrive M 스포츠,,디젤,세단,2017
폭스바겐,아테온,2.0 TDI 프레스티지,,디젤,세단,2019
벤츠,E-클래스 W213,E250 아방가르드,,가솔린,세단,2019
미니,쿠퍼 컨트리맨,클래식,2세대,가솔린,소형,2023
벤츠,GLE-클래스 W167,GLE450 4MATIC,,가솔린,세단,2019
벤츠,E-클래스 W213,E300 4MATIC 익스클루시브,,가솔린,세단,2019
벤츠,E-클래스 W213,E200 아방가르드,,가솔린,세단,2017
BMW,X5 (G05),xDrive 30d M 스포츠,,디젤,SUV,2022
랜드로버,디스커버리 5,3.0 TD6 HSE,,디젤,SUV,2018
랜드로버,레인지로버 이보크 2세대,D180 R-다이나믹 SE,,디젤,SUV,2020
벤츠,E-클래스 W213,E300 아방가르드,,가솔린,세단,2016
BMW,X1 (U11),sDrive 20i M 스포츠,,가솔린,소형,2023
아우디,뉴 A6,40 TDI 콰트로 프리미엄,C7,디젤,세단,2015
BMW,X6M (E71),4.4,,가솔린,SUV,2010
포드,머스탱,GT 쿠페,,가솔린,소형,2018
미니,쿠퍼 S 컨트리맨,ALL4,1세대,가솔린,소형,2012
랜드로버,디스커버리 스포츠,2.0 TD4 SE (150마력),,디젤,SUV,2018
마세라티,르반떼,3.0 AWD 그란루쏘,,가솔린,SUV,2019
포르쉐,718 카이맨,4.0 GTS,,가솔린,소형,2021
재규어,New XF,3.0D 프리미엄,X250,디젤,세단,2014
폭스바겐,제타 7세대,1.4 TSI 프레스티지,,가솔린,세단,2020
벤츠,E-클래스 W213,E250 익스클루시브,,가솔린,세단,2022
BMW,1시리즈 (F40),120i 스포츠,,가솔린,소형,2023
벤츠,E-클래스 W213,E300 AMG Line,,가솔린,세단,2018
폭스바겐,티구안 2세대,2.0 TDI 프레스티지,,디젤,SUV,2022
벤츠,S-클래스 W223,S450 d 4MATIC,,디젤,세단,2024
아우디,A5 (F5),40 TDI 콰트로 프리미엄 스포트백,,디젤,SUV,2020
아우디,A6 (C8),45 TDI 콰트로 프리미엄,,디젤,세단,2021
BMW,7시리즈 (G11),750Li xDrive 럭셔리,,가솔린,세단,2016
링컨,컨티넨탈 10세대,3.0 블랙라벨 AWD,,가솔린,SUV,2019
벤츠,C-클래스 W205,C220 d 4MATIC,,디젤,세단,2015
BMW,X7 (G07),xDrive 40d M 스포츠 6인승,,디젤,SUV,2021
아우디,A6 (C8),45 TFSI 프리미엄,,가솔린,세단,2021
벤츠,E-클래스 W213,E300e 4MATIC 익스클루시브,,가솔린+전기,세단,2022
BMW,X4M (G02),3,,가솔린,SUV,2020
벤츠,GLA-클래스 X156,GLA220 프리미엄,,가솔린,세단,2019
BMW,X3 (G01),xDrive 20i M 스포츠,,가솔린,SUV,2021
링컨,MKC,2.0 AWD,,가솔린,SUV,2015
벤츠,CLS-클래스 W218,CLS250 d 4MATIC AMG Line,,디젤,세단,2017
BMW,6시리즈 GT (G32),620d M 스포츠,,디젤,소형,2020
아우디,A6 (C8),45 TFSI 프리미엄,,가솔린,세단,2020
BMW,5시리즈,530i,E39,가솔린,세단,2002
벤츠,E-클래스 W213,E300 4MATIC 익스클루시브 인텔리전트 드라이브,,가솔린,세단,2016
BMW,5시리즈 (F10),528i M 에어로 다이나믹,,가솔린,세단,2016
BMW,X6 (G06),M50i,,가솔린,SUV,2022
미니,쿠퍼 S,JCW,3세대,가솔린,소형,2015
벤츠,S-클래스 W222,S500L 4MATIC,,가솔린,세단,2016
벤츠,A-클래스 W177,A220 세단,,가솔린,세단,2020
벤츠,C-클래스 W205,C200,,가솔린,세단,2017
벤츠,E-클래스 W213,E220d 익스클루시브,,디젤,세단,2019
벤츠,E-클래스 W213,E220d 4MATIC 익스클루시브,,디젤,세단,2019
BMW,i5 (G60),eDrive 40 M 스포츠 프로,,전기,소형,2024
미니,쿠퍼 클럽맨,기본형,2세대,가솔린,소형,2018
랜드로버,레인지로버 이보크,2.0 TD4 SE,,디젤,SUV,2016
BMW,3시리즈 (G20),320i M 스포츠,,가솔린,세단,2022
벤츠,E-클래스 W214,E200 아방가르드,,가솔린,세단,2024
폭스바겐,파사트 GT(B8),2.0 TDI 프레스티지,,디젤,세단,2018
재규어,XE,20d 프레스티지,,디젤,세단,2016
벤츠,E-클래스 W213,E450 4MATIC 익스클루시브,,가솔린,세단,2021
아우디,A6 (C8),45 TFSI 콰트로 프리미엄,,가솔린,세단,2019
벤츠,S-클래스 W222,S350L,,가솔린,세단,2020
벤츠,C-클래스 W206,C200 아방가르드,,가솔린,세단,2022
BMW,7시리즈 (G11),740Ld xDrive M 스포츠,,디젤,세단,2017
아우디,Q2,35 TDI 프리미엄,,디젤,세단,2023
도요타,RAV4 5세대,2.5 4WD 하이브리드,,가솔린+전기,SUV,2022
포르쉐,뉴 카이엔,3.0 디젤,958,디젤,SUV,2015
BMW,3시리즈 (G20),M340i xDrive 투어링,,가솔린,세단,2021
BMW,7시리즈 (G11),730Ld xDrive 디자인 퓨어 엑셀런스,,디젤,세단,2020
랜드로버,레인지로버 이보크,2.0 TD4 HSE 다이나믹,,디젤,SUV,2016
벤츠,GLE-클래스 W167,GLE400d 4MATIC 쿠페,,디젤,세단,2023
미니,쿠퍼,기본형,3세대,가솔린,소형,2017
벤츠,S-클래스 W222,S450L 4MATIC,,가솔린,세단,2019
벤츠,GLC-클래스 X253,GLC300 4MATIC 프리미엄,,가솔린,세단,2020
캐딜락,XT5,3.6 프리미엄 플러스 AWD,,가솔린,SUV,2018
벤츠,C-클래스 W205,C200 AMG Line,,가솔린,세단,2017
랜드로버,디스커버리 5,P360 R-다이나믹 SE,,가솔린,SUV,2023
BMW,X5 (G05),xDrive 30d M 스포츠,,디젤,SUV,2022
랜드로버,레인지로버 스포츠 2세대,3.0 SDV6 HSE 다이나믹,,디젤,SUV,2017
벤츠,E-클래스 W213,E300 AMG Line,,가솔린,세단,2019
BMW,i8,쿠페,,가솔린+전기,소형,2016
마세라티,르반떼,3.0 AWD 스포츠,,가솔린,SUV,2017
벤츠,E-클래스 W213,E43 AMG 4MATIC,,가솔린,세단,2017
벤츠,S-클래스 W222,S500L,,가솔린,세단,2015
BMW,X7 (G07),xDrive 40d 디자인 퓨어 엑셀런스 7인승,,디젤,SUV,2021
아우디,Q7 (4M),45 TDI 콰트로 프리미엄,,디젤,SUV,2020
BMW,X7 (G07),xDrive 40d M 스포츠 6인승,,디젤,SUV,2021
포르쉐,718 박스터,2.5 GTS,,가솔린,소형,2018
BMW,3시리즈 (G20),320i M 스포츠,,가솔린,세단,2023
벤츠,S-클래스 W223,S450L 4MATIC,,가솔린,세단,2021
BMW,3시리즈 (F30),320d xDrive,,디젤,세단,2016
벤츠,C-클래스 W205,C200 아방가르드,,가솔린,세단,2020
아우디,뉴 A6,3.0 TFSI 콰트로,C7,가솔린,세단,2013
BMW,4시리즈 (G22),420i M 스포츠 퍼포먼스 그란쿠페,,가솔린,소형,2024
미니,쿠퍼 S 클럽맨,JCW,2세대,가솔린,소형,2023
BMW,5시리즈 (G30),520i M 스포츠,,가솔린,세단,2022
BMW,7시리즈 (F01),750Ld xDrive,,디젤,세단,2015
BMW,X3 (G01),xDrive 20i,,가솔린,SUV,2023
랜드로버,디스커버리 5,P360 R-다이나믹 SE,,가솔린,SUV,2023
링컨,에비에이터 2세대,3.0 리저브 AWD,,가솔린,SUV,2021
벤츠,CLA-클래스 C117,CLA45 AMG 4MATIC,,가솔린,세단,2017
벤츠,E-클래스 W213,E250 익스클루시브,,가솔린,세단,2022
폭스바겐,골프 6세대,1.6 TDI 블루모션,,디젤,세단,2011
벤츠,E-클래스 W211,E350,,가솔린,세단,2008
벤츠,A-클래스 W177,A220 세단,,가솔린,세단,2021
BMW,X4 (G02),xDrive20i xLine,,가솔린,SUV,2022
벤츠,GLC-클래스 X253,GLC300 4MATIC 프리미엄,,가솔린,세단,2020
BMW,X4 (G02),xDrive20i xLine,,가솔린,SUV,2022
벤츠,GLS-클래스 X166,GLS350 d 4MATIC,,디젤,세단,2017
BMW,6시리즈 GT (G32),620d xDrive M 스포츠,,디젤,소형,2019
포드,머스탱,쿠페,,가솔린,소형,2015
벤츠,E-클래스 W213,E300e 4MATIC 익스클루시브,,가솔린+전기,세단,2022
미니,쿠퍼,5도어 HIGH,3세대,가솔린,소형,2016
BMW,6시리즈 GT (G32),640i xDrive M 스포츠,,가솔린,소형,2017
포드,익스플로러 6세대,2.3 리미티드 4WD,,가솔린,SUV,2021
미니,쿠퍼 S 컨트리맨 3세대,ALL4 페이버드,,가솔린,소형,2024
랜드로버,레인지로버 4세대,4.4 SDV8 Vogue SE 디젤,,디젤,SUV,2017
BMW,5시리즈 (G30),530i xDrive M 스포츠 플러스,,가솔린,세단,2017
포르쉐,718 카이맨,4.0 GT4,,가솔린,소형,2023
벤츠,GLE-클래스 W166,GLE350 d 4MATIC,,디젤,세단,2016
미니,쿠퍼 S 쿠페,1.6,,가솔린,소형,2012
벤츠,E-클래스 W213,E300 4MATIC 익스클루시브,,가솔린,세단,2018
벤츠,AMG GT,4도어 43 4MATIC+ 다이나믹,,가솔린,SUV,2023
벤츠,E-클래스 W213,E43 AMG 4MATIC,,가솔린,세단,2017
아우디,A6 (C8),45 TFSI 프리미엄,,가솔린,세단,2020
벤츠,E-클래스 W213,E300 4MATIC 익스클루시브 인텔리전트 드라이브,,가솔린,세단,2016
BMW,3시리즈 (G20),M340i xDrive 투어링,,가솔린,세단,2021
BMW,3시리즈 (G20),320i M 스포츠,,가솔린,세단,2022
벤츠,GLE-클래스 W167,GLE450 4MATIC,,가솔린,세단,2024
벤츠,E-클래스 W213,E220d 아방가르드 인텔리전트 드라이브,,디젤,세단,2016
벤츠,A-클래스 W177,A220 세단,,가솔린,세단,2022
벤츠,E-클래스 W213,E300 익스클루시브,,가솔린,세단,2019
벤츠,GLC-클래스 X253,GLC300e 4MATIC,,가솔린+전기,세단,2021
아우디,A6 (C8),40 TDI 프리미엄,,디젤,세단,2020
벤츠,E-클래스 W213,E220d 아방가르드,,디젤,세단,2017
아우디,A4 (B9),30 TDI 프리미엄,,디젤,세단,2018
BMW,X7 (G07),xDrive 40i M 스포츠 온라인 익스클루시브 에디션 6인승,,가솔린,SUV,2022
벤츠,S-클래스 W222,S350 d 4MATIC,,디젤,세단,2016
BMW,5시리즈 (G30),530i M 스포츠 플러스,,가솔린,세단,2017
벤츠,A-클래스 W177,A220 해치백,,가솔린,소형,2019
BMW,X6 (G06),xDrive30d M 스포츠,,디젤,SUV,2023
BMW,5시리즈 (G30),520i 럭셔리,,가솔린,세단,2018
BMW,7시리즈 (G11),730Ld xDrive 디자인 퓨어 엑셀런스,,디젤,세단,2020
벤츠,E-클래스 W213,E53 AMG 4MATIC+ 쿠페,,가솔린,세단,2021
벤츠,AMG GT,4도어 43 4MATIC+,,가솔린,SUV,2021
BMW,5시리즈 (F10),520d,,디젤,세단,2011
BMW,6시리즈 (F12),640d xDrive M 스포츠 리미티드 그란쿠페,,디젤,소형,2018
미니,쿠퍼 D 컨트리맨,SE,1세대,디젤,소형,2014
폭스바겐,티구안 2세대,2.0 TDI 프리미엄,,디젤,SUV,2020
BMW,X4 (G02),xDrive M40i 온라인 익스클루시브 에디션,,가솔린,SUV,2021
링컨,MKC,2.0 AWD,,가솔린,SUV,2015
미니,쿠퍼,5도어 클래식 플러스,3세대,가솔린,소형,2022
BMW,X4 (G02),xDrive20d M 스포츠,,디젤,SUV,2024
벤츠,CLS-클래스 C257,CLS400d 4MATIC,,디젤,세단,2019
폭스바겐,아테온,2.0 TDI 프레스티지,,디젤,세단,2022
포르쉐,카이엔 (PO536),3,,가솔린,SUV,2020
폭스바겐,아테온,2.0 TDI 프레스티지,,디젤,세단,2019
벤츠,E-클래스 W213,E220d 익스클루시브,,디젤,세단,2019
BMW,5시리즈 (G30),530i M 스포츠 플러스,,가솔린,세단,2019
BMW,8시리즈 (G15),M850i xDrive 쿠페,,가솔린,소형,2024
랜드로버,레인지로버 이보크,2.0 TD4 HSE 다이나믹,,디젤,SUV,2016
렉서스,뉴 ES300h,슈프림,XV60,가솔린+전기,세단,2016
아우디,Q5,45 TDI 콰트로 다이나믹,8R,디젤,SUV,2016
포드,익스플로러,2.3 리미티드 4WD,5세대,가솔린,SUV,2019
BMW,5시리즈 (G60),530i xDrive M 스포츠,,가솔린,세단,2023
BMW,3시리즈 (G20),320i M 스포츠,,가솔린,세단,2023
벤츠,E-클래스 W213,E300 익스클루시브,,가솔린,세단,2018
아우디,뉴 A6,2.0 TDI,C7,디젤,세단,2013
아우디,A6 (C8),45 TDI 콰트로 프리미엄,,디젤,세단,2020
벤츠,S-클래스 W222,S350L,,가솔린,세단,2019
폭스바겐,제타 7세대,1.4 TSI 프리미엄,,가솔린,세단,2021
BMW,5시리즈 (G30),530i M 스포츠,,가솔린,세단,2021
벤츠,E-클래스 W213,E250 익스클루시브,,가솔린,세단,2023
렉서스,ES300h 7세대,럭셔리 플러스,,가솔린+전기,세단,2018
벤츠,CLS-클래스 C257,CLS450 4MATIC,,가솔린,세단,2023
BMW,5시리즈 (G30),530i xDrive 럭셔리 플러스,,가솔린,세단,2020
아우디,뉴 A6,40 TFSI,C7,가솔린,세단,2017
폭스바겐,시로코,2.0 TDI R-Line,,디젤,세단,2015
아우디,뉴 A6,40 TDI 콰트로 스포츠,C7,디젤,세단,2016
BMW,3시리즈 GT (F34),GT 320d 프리미엄,,디젤,세단,2020
