모델명,연료,트림,가격
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,3880
GV80,디젤,3.0  AWD,4280
더 K9,가솔린,3.8 GDI AWD,3040
레이,가솔린,럭셔리,750
K8,가솔린,3.5  4WD,2399
EV6,전기,롱레인지,3480
G80 (RG3),가솔린,2.5 터보 2WD,4500
마티즈 크리에이티브,가솔린,그루브,215
더 뉴 스포티지 R,디젤,2WD 트렌디,850
팰리세이드,가솔린,3.8 4WD,2640
SM5 노바,가솔린,1.6 TCE,440
더 뉴 쏘렌토,디젤,2.0 2WD,1970
더 뉴 기아 레이,가솔린,프레스티지,1540
더 뉴 그랜드 스타렉스,디젤,밴 5인승,1950
쏘나타 뉴 라이즈,LPG,LPI 스타일,980
더 뉴 K3 2세대,가솔린,1.6,1810
G80,가솔린,3.3 GDI,2150
스포티지 5세대,가솔린,1.6 터보 2WD,9999
GV80,가솔린,2.5T  AWD,6999
아반떼 (CN7),가솔린,1.6,2290
K5 3세대,가솔린,2,1810
그랜저 하이브리드 (GN7),가솔린+전기,익스클루시브,4330
올 뉴 K3,가솔린,프레스티지,1560
XM3,가솔린,1.6 GTe LE,1550
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,4490
더 뉴 그랜저 IG,가솔린,3.3,2750
GV70,가솔린,2.5T  AWD,4090
쏘울 EV,전기,EV,899
LF 쏘나타,디젤,1.7  스타일,860
싼타페 TM,디젤,2.0 2WD,2650
올 뉴 말리부,가솔린,1.5 터보 LTZ,930
올 뉴 투싼,디젤,1.7 2WD,1260
K7 프리미어,가솔린,2.5 GDI 프레스티지,2030
더 뉴 K7,가솔린,2.4 GDI 프레스티지 스페셜,630
올 뉴 카니발,디젤,9인승 프레스티지,1110
더 뉴 카니발,가솔린,9인승 하이리무진,2750
더 K9,가솔린,3.3 GDI,2299
QM6,디젤,4WD RE 시그니처,880
엑센트(신형),가솔린,1.4 VVT 모던,439
아반떼 HD,가솔린,1.6 VVT S16,440
티볼리 에어,디젤,IX 2WD,980
K5 2세대,가솔린,2.0 MX,1139
뉴SM5 플래티넘,가솔린,LE,510
더 뉴 카니발,디젤,9인승 럭셔리,1590
싼타페 (MX5),가솔린,2.5T 4WD,4999
K8 하이브리드,가솔린+전기,노블레스 라이트,2400
올 뉴 투싼,디젤,1.7 2WD,1340
일렉트리파이드 G80 (RG3),전기,e-AWD,7150
싼타페 TM,가솔린,2.0T 2WD,2950
G80,가솔린,3.3 GDI,2590
더 뉴 그랜저 IG,가솔린,2.5,2069
일렉트리파이드 GV70,전기,e-AWD,5270
더 뉴 카니발,가솔린,9인승 노블레스 스페셜,2150
더 뉴 쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,5090
넥쏘,수소,프리미엄,1490
K5 3세대,가솔린,2,2320
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,1170
올란도,LPG,LPG LT,559
더 뉴 팰리세이드,디젤,2.2 4WD,9999
올 뉴 말리부,가솔린,1.5 터보 LTZ,999
그랜저 하이브리드 (GN7),가솔린+전기,프리미엄,3730
트랙스,가솔린,1.4 LT 래더패키지,569
더 뉴 아반떼,가솔린,1.6 GDi 모던,799
스토닉,디젤,1.6,890
LF 쏘나타,LPG,LPI 스마트,649
카니발 4세대,디젤,9인승 시그니처,2880
더 뉴 카니발,디젤,9인승 럭셔리,1550
말리부,디젤,2.0  LT 프리미엄팩,420
티코,가솔린,SE,550
싼타페 더 프라임,디젤,2.0 4WD,1680
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄,2140
GV70,가솔린,2.5T  AWD,5799
스포티지 5세대 하이브리드,가솔린+전기,시그니처 2WD,3930
올 뉴 투싼,디젤,1.7 2WD,1550
코나 하이브리드 (SX2),가솔린+전기,모던,2750
XM3,가솔린,1.6 GTe RE,1590
G90,가솔린,3.8 AWD,4750
스타리아,디젤,투어러 11인승,2770
스타리아,디젤,카고 3인승,2280
카니발 4세대,가솔린,9인승 시그니처,4160
스타리아,디젤,4WD 라운지 9인승,9999
팰리세이드,디젤,2.2 2WD,2500
더 뉴 스포티지 R,디젤,2WD 트렌디,830
트래버스,가솔린,3.6 AWD 레드라인,2550
더 뉴 아반떼 (CN7),가솔린,1.6,2360
그랜드 스타렉스,디젤,어린이보호차,990
코란도 투리스모,디젤,4WD 샤토 9인승,950
뉴SM5 플래티넘,가솔린,SE,220
EQ900,가솔린,3.8 GDI AWD,2420
렉스턴 스포츠,디젤,2.2 2WD,1300
더 넥스트 스파크,가솔린,LT,9999
더 뉴 K5 2세대,가솔린,2,1680
올 뉴 쏘렌토,디젤,2.0 2WD,1099
쏘나타 뉴 라이즈 하이브리드,가솔린+전기,모던,1380
그랜저 IG,가솔린,2.4 모던,1199
뉴SM5(신형),가솔린,LE,160
G80 (RG3),가솔린,3.5 터보 2WD,2850
뉴모닝,LPG,LPI SLX,220
더 뉴 모하비,디젤,3.0 4WD,1470
티볼리 아머,가솔린,LX 4WD,1230
더 뉴 니로,가솔린+전기,1.6 HEV,2170
더 뉴 K3 2세대,가솔린,1.6,2040
티볼리,디젤,VX 2WD,660
G80,가솔린,3.8 GDI,1610
올 뉴 쏘울,가솔린,1.6 GDi 프레스티지,900
쏘나타 하이브리드 (DN8),가솔린+전기,프리미엄,1799
K7 프리미어,LPG,3.0 LPI 프레스티지,2150
카니발 R,디젤,그랜드 카니발 GLX,270
SM3 네오,가솔린,SE,700
G80,가솔린,3.3 GDI AWD,2040
올 뉴 카니발,디젤,9인승 하이리무진,2190
싼타페 DM,디젤,2.0 2WD 스마트,900
아이오닉5,전기,롱레인지,3250
올 뉴 K3,가솔린,5도어 GT 플러스,1690
디 올 뉴 니로,가솔린+전기,시그니처,3230
캐스퍼,가솔린,모던,1999
젠트라 X,가솔린,1.2 SX,199
더 뉴 싼타페,디젤,2.2 4WD,2539
더 넥스트 스파크,가솔린,LS,470
베리 뉴 티볼리,가솔린,1.5 2WD,1380
더 뉴 K5 2세대,가솔린,1.6 터보,1300
엑센트(신형),가솔린,1.4 VVT 모던,399
올 뉴 K3,가솔린,트렌디,1069
더 뉴 레이,가솔린,시그니처,1390
모하비,디젤,4WD KV300,1050
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,4399
SM6,가솔린,2.0 GDe SE,1150
G70,가솔린,3.3T 스포츠,2290
더 뉴 트랙스,디젤,1.6  블레이드,970
더 뉴 모닝,가솔린,럭셔리,720
GV80,디젤,3.0  AWD,8888
카니발 4세대,디젤,9인승 시그니처,3390
그랜저 IG,가솔린,3.0 익스클루시브,1170
스파크,가솔린,LT,480
아반떼 (CN7),가솔린,2.0 N,2380
캐스퍼,가솔린,모던,1410
티볼리,디젤,LX 2WD,799
올 뉴 카렌스,LPG,2.0 LPi 프레스티지,750
스포티지 5세대 하이브리드,가솔린+전기,노블레스 2WD,2950
레이,가솔린,럭셔리,740
더 뉴 K3,가솔린,프레스티지,790
투싼 하이브리드 (NX4),가솔린+전기,인스퍼레이션 4WD,3310
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1699
레이,가솔린,프레스티지,850
i30(신형),가솔린,1.6 GDI PYL,850
SM6,가솔린,2.0 GDe RE,759
싼타페 더 프라임,디젤,2.0 2WD,1640
올 뉴 투싼,디젤,2.0 2WD,1220
더 뉴 K5,가솔린,프레스티지,620
더 뉴 i40,디젤,1.7 VGT,1030
K5 3세대,가솔린,2,1790
K8 하이브리드,가솔린+전기,노블레스,3370
더 뉴 아반떼 (CN7),가솔린,1.6,1830
더 뉴 모하비,디젤,3.0 4WD,1699
오피러스 프리미엄,가솔린,GH270 스페셜,499
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,800
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3200
스파크,가솔린,스파크 S,301
베뉴,가솔린,1.6 모던,1470
G80 (RG3),가솔린,2.5 터보 AWD,4120
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,3740
스타리아,디젤,카고 5인승,2100
QM3,디젤,RE 시그니처,699
더 뉴 아반떼,가솔린,1.6 GDi 스마트,860
팰리세이드,가솔린,3.8 4WD,3650
QM3,디젤,RE,490
올 뉴 말리부,가솔린,2.0 터보 LT,1090
더 뉴 카니발,가솔린,9인승 하이리무진,3150
G80,가솔린,3.3 GDI,2020
G80 (RG3),가솔린,3.5 터보 AWD,6597
더 뉴 아반떼,가솔린,1.6 GDi 모던,590
더 뉴 카니발,디젤,9인승 럭셔리,1599
쏘울,가솔린,1.6 2U,260
더 뉴 싼타페,디젤,2.2 2WD,3460
G80 (RG3),가솔린,2.5 터보 AWD,3980
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3970
GV80,가솔린,2.5T  AWD,5250
더 뉴 싼타페,디젤,2.2 4WD,2690
더 뉴 QM6,LPG,2.0 LPe SE 2WD,1450
더 뉴 K5,LPG,LPI 프레스티지,659
K5 하이브리드 3세대,가솔린+전기,시그니처,2259
더 뉴 K7,LPG,LPI 3.0 프레스티지,640
스포티지 4세대,디젤,1.7 2WD 트렌디,1290
포르테 쿱,가솔린,1.6 GDI 프레스티지,530
뉴SM3,가솔린,PE,270
그랜저 (GN7),가솔린,2.5  2WD,3599
제네시스 DH,가솔린,G330 프리미엄 AWD,1350
SM3 Z.E.,전기,RE,580
더 뉴 K5,가솔린,럭셔리,670
뉴SM5(신형),LPG,LPLI SE,180
스타리아,디젤,카고 5인승,2480
LF 쏘나타,LPG,LPI 스마트,560
싼타페 (MX5),가솔린+전기,HEV 1.6 2WD,4480
더 뉴 그랜드 스타렉스,디젤,웨건 11인승,2250
싼타페 더 프라임,디젤,2.0 2WD,1320
스팅어,가솔린,2.0 터보 AWD,1845
에쿠스(신형),가솔린,VS380,485
올 뉴 프라이드,가솔린,1.4 MPI 세단,550
그랜저 HG,가솔린,HG330 셀러브리티,650
쏘렌토 4세대,디젤,2.2 4WD,2750
K3,가솔린,트렌디,500
제네시스 쿠페,가솔린,200 터보 D,595
더 K9,가솔린,3.8 GDI AWD,3250
YF 쏘나타,LPG,LPI 프리미어,320
더 뉴 아반떼 AD,가솔린,1.6,1149
말리부,가솔린,2.4 LTZ,599
G80,가솔린,3.3 GDI AWD,1159
LF 쏘나타,LPG,LPI 모던,760
K8,가솔린,3.5  4WD,2370
올 뉴 투싼,디젤,2.0 2WD,1100
셀토스,가솔린,1.6 터보 4WD,1900
베뉴,가솔린,1.6 스마트,1088
더 뉴 스포티지 R,디젤,4WD 트렌디,980
뷰티풀 코란도,가솔린,1.5 4WD C7,1499
베라크루즈,디젤,4WD 익스클루시브,1599
올 뉴 K7,디젤,2.2  프레스티지,1449
팰리세이드,디젤,2.2 4WD,2540
더 뉴 그랜저 IG 하이브리드,가솔린+전기,캘리그래피,2199
더 뉴 그랜저 IG 하이브리드,가솔린+전기,프리미엄,2650
더 뉴 i30,디젤,1.6 PYL,9999
GV70,가솔린,2.5T  2WD,3930
더 뉴 모닝,가솔린,스마트,420
투스카니,가솔린,2.0 GT,120
베뉴,가솔린,1.6 스마트,980
뉴모닝,가솔린,SLX,109
베뉴,가솔린,1.6 모던,1499
그랜저 HG,가솔린,HG300 익스클루시브,790
GV80,디젤,3.0  2WD,4980
올란도,디젤,1.6  다이나믹,795
올 뉴 카니발,디젤,9인승 프레스티지,1520
더 뉴 K7,가솔린,2.4 GDI 프레스티지,1100
스포티지 R,디젤,2WD TLX,670
더 뉴 그랜저 IG,가솔린,2.5,1898
코란도 C,디젤,클러비 4WD,380
더 뉴 스파크,가솔린,프리미어,660
G80 (RG3),가솔린,2.5 터보 AWD,5970
엑센트(신형),디젤,위트  1.6 VGT 모던,469
레이,가솔린,터보 프레스티지,659
아반떼 (CN7),가솔린,1.6,1390
QM6,디젤,4WD RE 시그니처,1099
팰리세이드,가솔린,3.8 4WD,2630
GV80,가솔린,3.5T  AWD,6490
쏘울,가솔린,1.6 U,280
G90,가솔린,3.8 AWD,4990
뉴SM5(신형),가솔린,SE 플러스,290
뉴SM3,가솔린,RE,250
그랜저 HG,가솔린,HG300 노블,570
엑센트(신형),가솔린,1.4 VVT 프리미엄,599
더 뉴 그랜저 IG,가솔린,3.3,2590
더 K9,가솔린,3.3 T-GDI AWD,2249
제네시스 DH,가솔린,G380 파이니스트 에디션 AWD,1780
i30(신형),가솔린,1.6 GDI PYL,530
올 뉴 카니발,디젤,9인승 하이리무진,1850
팰리세이드,디젤,2.2 4WD,5199
더 뉴 그랜저 IG,가솔린,2.5,7777
뉴코란도 C,디젤,2.0 RX 4WD,400
K7,LPG,LPI VG270 프레스티지,350
팰리세이드,가솔린,3.8 4WD,2589
스포티지 5세대,가솔린,1.6 터보 2WD,1850
더 뉴 카니발,디젤,9인승 노블레스 스페셜,2550
올 뉴 K7,가솔린,3.3 GDI 노블레스,989
더 뉴 싼타페,디젤,2.2 2WD,2350
렉스턴 스포츠,디젤,2.2 4WD,9999
스타리아,LPG,L3.5 투어러 9인승,2149
그랜저 IG,가솔린,2.4 스페셜,1655
G80,가솔린,3.3 GDI AWD,1749
그랜저 HG,가솔린,HG240 럭셔리,510
더 뉴 트랙스,가솔린,1.4 프리미어,850
뉴코란도 C,디젤,2.0 CVT 2WD,519
SM6,가솔린,1.6 TCe RE,560
트랙스 크로스오버,가솔린,1.2 LS,1850
G90,가솔린,3.8 AWD,3250
모하비,디젤,4WD KV300,599
더 뉴 쏘렌토 4세대,디젤,2.2 2WD,3390
스파크,가솔린,밴,279
K5 하이브리드,가솔린+전기,500h 프레스티지,840
GV70,디젤,2.2  2WD,9999
아반떼 AD,가솔린,1.6 터보 스포츠,920
더 뉴 렉스턴 스포츠 칸,디젤,2.2 4WD,2850
그랜저 HG,가솔린,HG240 모던 컬렉션,1199
G80 (RG3),가솔린,3.5 터보 2WD,3450
포르테,가솔린,1.6 CVVT Si,310
엑센트(신형),가솔린,1.4 VVT 럭셔리,450
코나,디젤,1.6 2WD,1499
올 뉴 쏘렌토,디젤,2.0 4WD,1490
어메이징 뉴 크루즈,디젤,2.0  LTZ,1000
스파크,가솔린,LS,5555
올 뉴 모닝,가솔린,럭셔리,550
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,3950
올 뉴 K7,가솔린,3.3 GDI 노블레스,1680
투싼 ix,디젤,2WD X20,540
더 뉴 스포티지 5세대,가솔린,1.6 터보 2WD,3880
그랜저 HG,LPG,LPG HG300 모던,580
SM7 New Art,가솔린,RE,239
더 뉴 카니발 4세대,디젤,7인승 시그니처,4450
더 뉴 니로,가솔린+전기,1.6 HEV,2380
카니발 R,디젤,그랜드 카니발 GLX,280
올 뉴 카렌스,디젤,1.7 VGT 프레스티지,499
카니발 4세대,디젤,9인승 프레스티지,2150
올 뉴 K7,디젤,2.2  프레스티지,1100
제네시스 DH,가솔린,G330 프리미엄 AWD,1190
더 뉴 코나,가솔린,2.0 2WD,2500
뉴체어맨 W,가솔린,서밋,2090
팰리세이드,디젤,2.2 2WD,4490
G80 (RG3),가솔린,3.5 터보 AWD,3380
올 뉴 말리부,가솔린,2.0 터보 LTZ,1030
그랜드 스타렉스,디젤,리무진,1190
그랜저 HG,가솔린,HG240 모던,969
스포티지 4세대,디젤,2.0 2WD 노블레스,1199
G90 (RS4),가솔린,3.5 터보 e-S/C AWD LWB,10300
카니발 4세대,디젤,11인승 프레스티지,2100
더 뉴 싼타페,디젤,2.2 4WD,2280
티볼리,디젤,LX 2WD,859
더 뉴 카니발,가솔린,9인승 프레스티지,2080
K3,가솔린,디럭스,430
K7 프리미어,가솔린,3.0 GDI 시그니처,2190
스팅어,가솔린,2.0 터보 2WD,1480
올란도,LPG,LPG LT,590
올 뉴 K7,가솔린,3.3 GDI 리미티드 플러스,1490
QM3,디젤,LE,610
모하비 더 마스터,디젤,3.0 4WD 6인승,3850
올 뉴 쏘렌토,디젤,2.0 2WD,1580
더 뉴 싼타페,가솔린,2.5T 2WD,3350
QM5,디젤,4WD RE,270
카니발 4세대,디젤,9인승 시그니처,3420
G90 (RS4),가솔린,3.5 터보 AWD,5630
올 뉴 쏘울,가솔린,1.6 GDi 트렌디,790
쏘렌토 4세대,디젤,2.2 2WD,1950
스포티지 5세대,디젤,2.0 2WD,2890
더 뉴 아반떼 AD,가솔린,1.6,1199
스타리아,디젤,4WD 투어러 9인승,3420
모하비 더 마스터,디젤,3.0 4WD 5인승,2865
K7 프리미어,가솔린,3.0 GDI 시그니처,2390
더 뉴 그랜저 IG,LPG,3.0 LPi,1790
YF 쏘나타,가솔린,Y20 프라임,350
LF 쏘나타,LPG,LPI 프리미엄 스페셜,1080
K7 프리미어,가솔린,2.5 GDI 노블레스,2360
더 뉴 팰리세이드,가솔린,3.8 2WD,3630
더 뉴 K3 2세대,가솔린,1.6,1620
싼타페 더 프라임,디젤,2.0 2WD,1490
아반떼 AD,가솔린,1.6 GDI 모던,959
그랜저 IG,가솔린,2.4 프리미엄,1580
싼타페 TM,디젤,2.0 2WD,1580
투싼 (NX4),가솔린,1.6 터보 2WD,2860
SM6,가솔린,2.0 GDe RE,860
더 뉴 K5 3세대,가솔린,2,2880
더 뉴 쏘렌토,디젤,2.0 2WD,1560
더 뉴 그랜저 IG,가솔린,2.5,1769
더 뉴 그랜저 IG,가솔린,2.5,2789
쏘나타 더 브릴리언트,가솔린,CVVL 블루세이버,650
제네시스 쿠페,가솔린,200 터보 D,350
뉴SM5(신형),가솔린,LE,299
G80 (RG3),가솔린,2.5 터보 2WD,3229
올 뉴 K7,LPG,3.0 LPI 럭셔리,930
GV70,디젤,2.2  AWD,6040
QM3,디젤,RE,620
그랜저 HG,가솔린,HG300 익스클루시브 컬렉션,1050
쏘나타 더 브릴리언트,LPG,LPI 스마트,459
뉴모닝,가솔린,SLX,150
QM6,가솔린,2WD RE,1070
K3,가솔린,디럭스,450
더 뉴 그랜드 스타렉스,디젤,캠핑카,3450
스파크,가솔린,시티팝 에디션,320
아반떼 AD,가솔린,1.6 터보 스포츠,950
아이오닉 하이브리드,가솔린+전기,1.6 플러그인 HEV,1299
뉴코란도 C,디젤,2.0 RX 2WD,449
G70,가솔린,3.3T 스포츠 AWD,2300
올 뉴 투싼,가솔린,1.6 터보 2WD,1930
K7 프리미어,가솔린,2.5 GDI 노블레스,2370
카니발 4세대,디젤,9인승 시그니처,4050
YF 쏘나타,LPG,LPI 럭셔리,209
LF 쏘나타,LPG,LPI 프리미엄 스페셜,1030
렉스턴 스포츠 칸,디젤,2.2 4WD,2150
GV70,가솔린,2.5T  2WD,4190
그랜저 HG,가솔린,HG300 로얄,690
코란도 스포츠,디젤,CX7 4WD,620
올 뉴 카니발,디젤,9인승 프레스티지,1040
GV70,가솔린,2.5T  2WD,4640
더 뉴 아반떼,가솔린,1.6 GDi 스마트,600
벨로스터 (JS),가솔린,2.0 N,1990
트레일블레이저,가솔린,1.3 터보 4WD,1599
카니발 R,디젤,뉴카니발 리무진 GLX,425
트레일블레이저,가솔린,1.3 터보 4WD,1690
올 뉴 K7,가솔린,2.4 GDI 리미티드,1420
스팅어,가솔린,2.0 터보 AWD,1670
K7 프리미어,가솔린,3.0 GDI 시그니처,2140
쏘나타 뉴 라이즈,가솔린,2.0 스마트,880
그랜저 HG,가솔린,HG240 모던,999
더 뉴 K7,가솔린,3.0 GDI 프레스티지,879
뉴SM5(신형),LPG,LPLI LE,269
K3,가솔린,디럭스,490
디 올 뉴 니로,가솔린+전기,시그니처,3399
카니발 4세대,디젤,9인승 프레스티지,2560
더 뉴 트랙스,디젤,1.6  프리미어,1050
K7 프리미어,가솔린,2.5 GDI 프레스티지,1490
더 뉴 스포티지 R,디젤,2WD 트렌디,820
코나,디젤,1.6 4WD,1399
스포티지 5세대 하이브리드,가솔린+전기,시그니처 그래비티 2WD,3390
G80 (RG3),가솔린,2.5 터보 AWD,5189
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1200
그랜저 IG,가솔린,3.0 익스클루시브,1430
카니발 4세대,디젤,9인승 노블레스,2120
그랜드 스타렉스,디젤,캠핑카,1590
GV80,가솔린,3.5T  AWD,4020
레이,가솔린,럭셔리,670
QM6,디젤,4WD RE 시그니처,1250
뉴SM5(신형),가솔린,RE,150
더 뉴 카니발 4세대,디젤,9인승 하이리무진,7791
올 뉴 K7,가솔린,2.4 GDI 노블레스,1750
제네시스 DH,가솔린,G330 프리미엄 AWD,1230
리얼 뉴 콜로라도,가솔린,3.6 Z71-X 4WD,2350
올 뉴 크루즈,가솔린,1.4 터보 LTZ,799
그랜저 IG,가솔린,2.4 프리미엄,1539
올란도,디젤,2.0  LTZ,450
스타리아,디젤,2WD 캠핑카,3150
뉴SM3,가솔린,RE,450
올 뉴 크루즈,가솔린,1.4 터보 LT,550
크루즈,가솔린,1.8 LT+,260
올 뉴 카렌스,LPG,2.0 LPi 프레스티지,830
G80 (RG3),가솔린,2.5 터보 2WD,3590
더 뉴 아반떼,가솔린,1.6 GDi 스마트,592
쏘렌토 4세대,디젤,2.2 2WD,2940
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,2799
제네시스 쿠페,가솔린,380 GT-RW,329
K8 하이브리드,가솔린+전기,시그니처,3060
GV70,가솔린,2.5T  AWD,3590
더 뉴 기아 레이,가솔린,스탠다드,1359
더 뉴 트랙스,가솔린,1.4 레드라인,1370
팰리세이드,디젤,2.2 2WD,3240
레이,가솔린,프레스티지,500
K5,가솔린,2.0 스마트,399
카니발 4세대,가솔린,9인승 노블레스,3650
카니발 4세대,디젤,9인승 프레스티지,2050
더 K9,가솔린,5.0 GDI AWD,2650
K8,가솔린,2.5  2WD,3200
QM5,디젤,2WD RE,250
스파크,가솔린,L,200
카니발 4세대,디젤,7인승 시그니처,3099
K3,가솔린,디럭스,420
SM6,가솔린,1.6 TCe LE,680
쏘나타 뉴 라이즈 하이브리드,가솔린+전기,프리미엄,1620
아반떼 (CN7),가솔린,1.6,1329
아반떼 (CN7),가솔린,1.6,1265
싼타페 TM,디젤,2.0 2WD,3333
스포티지 4세대,디젤,2.0 2WD 노블레스,1290
아반떼 (CN7),가솔린,1.6,1275
K3,가솔린,프레스티지,489
카니발 4세대,가솔린,9인승 하이리무진,6090
K5 3세대,LPG,2.0 LPI,1740
SM6,가솔린,2.0 GDe SE,720
G90,가솔린,3.8 AWD,4099
G80 (RG3),가솔린,2.5 터보 AWD,3050
모하비 더 마스터,디젤,3.0 4WD 6인승,2799
스파크,LPG,LPG L,199
G80,가솔린,3.3 GDI AWD,1770
더 뉴 싼타페,디젤,2.2 2WD,2100
K5 2세대,가솔린,2.0 MX,890
뉴SM3,가솔린,LE 플러스,199
제조사 기타,전기,기타 차,480
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2400
카니발 4세대,디젤,9인승 노블레스,2729
렉스턴 스포츠 칸,디젤,2.2 4WD,3880
마티즈 크리에이티브,가솔린,재즈,170
더 뉴 K3,가솔린,프레스티지,550
QM3,디젤,LE,659
더 뉴 그랜저 IG,LPG,3.0 LPi,2977
뉴모닝,가솔린,SLX,200
싼타페 (MX5),가솔린,2.5T 4WD,4790
K3,가솔린,노블레스,530
올 뉴 모닝,가솔린,디럭스,420
더 뉴 카니발,디젤,7인승 리무진,2050
셀토스,디젤,1.6 2WD,1820
트랙스,가솔린,1.4 LT,345
스포티지 4세대,디젤,2.0 2WD 노블레스,1299
토레스,가솔린,1.5 2WD,2399
쏘나타 더 브릴리언트,LPG,LPI 모던,650
더 뉴 카마로,가솔린,SS 6.2 V8,4399
아반떼 (CN7),가솔린,1.6,1109
더 뉴 스파크,가솔린,LT,649
더 넥스트 스파크,가솔린,LS,399
더 뉴 코란도 스포츠,디젤,2.2 익스트림 4WD,1089
스포티지 5세대,디젤,2.0 4WD,2440
GV80,가솔린,2.5T  AWD,4990
레이,가솔린,프레스티지,799
카니발 4세대,가솔린,9인승 하이리무진,3990
올 뉴 모닝,가솔린,럭셔리,390
K7,LPG,LPI VG270 프레스티지,360
더 뉴 레이,가솔린,럭셔리,800
K5 하이브리드 3세대,가솔린+전기,시그니처,2399
에쿠스(신형),가솔린,VS380,760
더 뉴 제네시스 쿠페,가솔린,200 터보 S,1035
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2280
더 뉴 코나,가솔린,2.0 2WD,2990
올 뉴 K3,가솔린,럭셔리,1150
XM3,가솔린,1.6 GTe RE,1720
올 뉴 쏘렌토,디젤,2.0 2WD,1790
그랜저 뉴 럭셔리,LPG,LPI Q270 모범형,450
그랜저 IG,가솔린,2.4 프리미엄,1700
싼타페 더 프라임,디젤,2.0 2WD,1430
그랜드 스타렉스,디젤,3인승 밴,899
트래버스,가솔린,3.6 AWD 레드라인,2950
카니발 4세대,디젤,9인승 시그니처,3510
아이오닉 하이브리드,가솔린+전기,Q,1590
그랜저 HG,가솔린,HG300 프리미엄,780
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2240
EV6,전기,롱레인지,3289
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,4470
더 뉴 카니발,디젤,7인승 리무진,1450
아반떼 하이브리드 (CN7),가솔린+전기,스마트,1390
LF 쏘나타,LPG,LPI 프리미엄,660
코란도 지프,디젤,지프-4 RS,800
싼타페 TM,디젤,2.0 2WD,1600
G80 (RG3),가솔린,3.5 터보 AWD,3870
EV6,전기,롱레인지,2390
올 뉴 쏘렌토,디젤,2.0 2WD,1649
EV3,전기,롱레인지 2WD,3950
더 뉴 그랜저 IG 하이브리드,가솔린+전기,익스클루시브,3110
올란도,디젤,1.6  퍼펙트 블랙,520
쏘렌토 4세대,디젤,2.2 2WD,2550
포르테,가솔린,1.6 CVVT 프리미엄 Si,229
SM6,LPG,2.0 LPe RE,1190
올 뉴 말리부,가솔린,2.0 터보 LT,850
제네시스 쿠페,가솔린,380 GT-RW,785
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,1970
올 뉴 모닝,가솔린,럭셔리,340
렉스턴 스포츠,디젤,2.2 2WD,1200
스파크,가솔린,LS,400
아반떼 HD,가솔린,1.6 VVT E16,359
올 뉴 카니발,가솔린,7인승 리무진,1650
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1500
K5 하이브리드 3세대,가솔린+전기,프레스티지,1790
더 뉴 K9 2세대,가솔린,3.3 T-GDI AWD,3500
제네시스 DH,가솔린,G330 모던,1419
더 뉴 그랜드 스타렉스,디젤,웨건 12인승,1749
쏘렌토 4세대,가솔린+전기,HEV 1.6 2WD,3249
넥쏘,수소,프리미엄,2080
LF 쏘나타,LPG,LPI 프리미엄,680
YF 쏘나타,가솔린,Y20 프리미어,350
K8,LPG,3.5 LPG 2WD,2109
코란도 스포츠,디젤,CX7 4WD,570
올 뉴 카니발,디젤,9인승 하이리무진,2060
올 뉴 K3,가솔린,트렌디,1130
K5 하이브리드 3세대,가솔린+전기,프레스티지,2150
아반떼 (CN7),가솔린,1.6,1899
셀토스,가솔린,1.6 터보 2WD,1870
베리 뉴 티볼리,가솔린,1.5 2WD,1099
더 뉴 K7,LPG,LPI 3.0 럭셔리,590
스포티지 4세대,디젤,1.7 2WD 노블레스,830
더 뉴 프라이드,가솔린,5DR 1.4 MPI,710
어메이징 뉴 크루즈,디젤,2.0  LTZ,270
카니발 R,디젤,그랜드 카니발 GLX,600
올 뉴 프라이드,가솔린,1.6 GDI 해치백,480
올 뉴 카니발,디젤,9인승 노블레스 스페셜,2090
더 뉴 카니발,디젤,9인승 노블레스,1370
그랜저 IG,가솔린,3.0 익스클루시브,1439
카니발 R,디젤,뉴카니발 리무진 GLX,670
올 뉴 K7,가솔린,2.4 GDI 프레스티지,1359
G80 (RG3),가솔린,3.5 터보 AWD,3399
더 뉴 카니발,디젤,9인승 하이리무진,2130
스포티지 4세대,디젤,2.0 4WD 노블레스,1399
카니발 R,디젤,뉴카니발 GLX,530
K5 2세대,LPG,LPI SX,730
